구,인구,면적,인구밀도,쓰레기통 대수,인구당 쓰레기통,면적당 쓰레기통,밀도당 쓰레기통,10000명당 쓰레기통
강남구,564280,39.5,14285.6,974,0.0017260934287942156,24.658227848101266,68.18054544436356,17.260934287942156
강동구,469464,24.59,19091.7,52,0.00011076461666922278,2.1146807645384302,2.723696684946862,1.1076461666922277
강북구,289678,23.6,12274.5,217,0.0007491076298510761,9.194915254237287,17.678927858568578,7.491076298510761
강서구,563515,41.45,13595.1,315,0.0005589913311979273,7.599517490952955,23.17011276121544,5.589913311979273
관악구,496469,29.57,16789.6,108,0.00021753624093347217,3.652350355089618,6.4325534854910185,2.175362409334722
광진구,349307,17.06,20475.2,104,0.0002977323672299725,6.096131301289566,5.079315464562007,2.977323672299725
구로구,412441,20.12,20499.1,221,0.0005358342162879055,10.984095427435387,10.780961115366042,5.358342162879055
금천구,239577,13.02,18400.7,70,0.00029218163680152934,5.376344086021506,3.804203100968985,2.9218163680152935
노원구,498358,35.44,14062.0,156,0.0003130279838991247,4.401805869074493,11.093727776987626,3.1302798389912474
도봉구,306926,20.65,14863.2,303,0.0009872086431257047,14.67312348668281,20.385919586630067,9.872086431257047
동대문구,359219,14.22,25261.5,110,0.00030621988257859413,7.7355836849507735,4.354452427607228,3.0621988257859414
동작구,387792,16.36,23703.7,230,0.0005931014564508808,14.058679706601467,9.703126516113517,5.931014564508809
마포구,373874,23.85,15676.1,254,0.000679373264789742,10.649895178197065,16.203009677151844,6.7937326478974205
서대문구,319749,17.63,18136.6,218,0.0006817847749328379,12.36528644356211,12.019893475072505,6.817847749328379
서초구,412611,46.97,8784.6,246,0.0005962032035016032,5.237385565254418,28.003551669967898,5.962032035016032
성동구,282385,16.82,16788.6,102,0.0003612089877295182,6.064209274673008,6.075551266931133,3.612089877295182
성북구,435492,24.58,17717.3,185,0.0004248068850862932,7.526444263628967,10.441771601767766,4.248068850862932
송파구,657991,33.88,19421.2,151,0.00022948642154679928,4.456906729634002,7.775008753321113,2.294864215467993
양천구,435867,17.41,25035.4,136,0.00031202178646238415,7.811602527283171,5.432307852081452,3.1202178646238417
영등포구,397514,24.55,16192.0,123,0.00030942306434490356,5.010183299389002,7.596343873517787,3.0942306434490354
용산구,218370,21.87,9984.9,278,0.0012730686449603883,12.711476909007773,27.842041482638784,12.730686449603883
은평구,466809,29.71,15712.2,308,0.0006597987613777798,10.366879838438235,19.602601799875252,6.597987613777798
종로구,150011,23.91,6274.0,272,0.0018132003653065442,11.37599330823923,43.353522473700984,18.132003653065443
중구,131589,9.96,13211.7,146,0.001109515233036196,14.65863453815261,11.050811023562447,11.095152330361959
중랑구,386131,18.5,20871.9,101,0.00026156926017336084,5.45945945945946,4.839041965513442,2.6156926017336084
