구,인구,면적,인구밀도,쓰레기통23,쓰레기통,방문자수,일별방문자수,인구/쓰레기통,면적/쓰레기통,인구밀도/쓰레기통,일별방문자수/쓰레기통
강남구,564280,39.5,14285.6,974,976,4823037,160767,578.155737704918,40.47131147540984,14.63688524590164,164.7202868852459
강동구,469464,24.59,19091.7,52,52,2906029,96867,9028.153846153846,472.8846153846154,367.1480769230769,1862.826923076923
강서구,563515,41.45,13595.1,315,315,1303126,43437,1788.936507936508,131.5873015873016,43.15904761904762,137.89523809523808
관악구,496469,29.57,16789.6,108,212,1769582,58986,2341.8349056603774,139.4811320754717,79.19622641509433,278.2358490566038
관악구,496469,29.57,16789.6,108,212,1545457,51515,2341.8349056603774,139.4811320754717,79.19622641509433,242.99528301886792
광진구,349307,17.06,20475.2,104,118,2338311,77943,2960.228813559322,144.57627118644066,173.51864406779663,660.5338983050848
구로구,412441,20.12,20499.1,221,230,3841824,128060,1793.2217391304348,87.47826086956523,89.12652173913042,556.7826086956521
금천구,239577,13.02,18400.7,70,70,2294223,76474,3422.5285714285715,186.0,262.8671428571429,1092.4857142857143
노원구,498358,35.44,14062.0,156,156,2293530,76451,3194.602564102564,227.17948717948715,90.14102564102564,490.0705128205128
도봉구,306926,20.65,14863.2,303,307,3396167,113205,999.7589576547231,67.26384364820846,48.414332247557006,368.7459283387622
동작구,387792,16.36,23703.7,230,260,4946311,164877,1491.5076923076922,62.92307692307691,91.16807692307692,634.1423076923077
마포구,373874,23.85,15676.1,254,259,1982614,66087,1443.5289575289576,92.08494208494209,60.525482625482624,255.16216216216216
서대문구,319749,17.63,18136.6,218,241,157096,5236,1326.759336099585,73.15352697095436,75.25560165975104,21.726141078838175
서초구,412611,46.97,8784.6,246,250,556152,18538,1650.444,187.88,35.138400000000004,74.152
성동구,282385,16.82,16788.6,102,102,108152,3605,2768.4803921568628,164.90196078431373,164.59411764705882,35.34313725490196
송파구,657991,33.88,19421.2,151,151,2096143,69871,4357.556291390729,224.37086092715234,128.61721854304636,462.72185430463577
양천구,435867,17.41,25035.4,136,136,4442218,148073,3204.904411764706,128.01470588235296,184.08382352941177,1088.7720588235295
용산구,218370,21.87,9984.9,278,284,21916,730,768.9084507042254,77.00704225352113,35.1580985915493,2.5704225352112675
은평구,466809,29.71,15712.2,308,342,17056,568,1364.938596491228,86.87134502923976,45.9421052631579,1.6608187134502923
종로구,150011,23.91,6274.0,272,308,751869,25062,487.0487012987013,77.62987012987013,20.37012987012987,81.37012987012987
중구,131589,9.96,13211.7,146,196,3023081,100769,671.3724489795918,50.81632653061225,67.40663265306122,514.1275510204082
중랑구,386131,18.5,20871.9,101,101,1327809,44260,3823.079207920792,183.16831683168317,206.65247524752476,438.2178217821782
